projectGroupId,suggestedSlug,suggestedTitle,mainImage,images,layoutType,style,color,material,city,priceFrom,days,description,task,solution,result,confidence,needs_review
portfolio-uglovaya-kuhnya-skandinavskaya-012,uglovaya-kuhnya-skandinavskaya-012,Угловая кухня зелёная в скандинавском стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-extra-00-032.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-side-033.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-detail-034.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-sovremennaya-013,pryamaya-kuhnya-sovremennaya-013,Прямая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-side-035.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-02-050.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-03-051.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-neoklassika-014,uglovaya-kuhnya-neoklassika-014,Угловая кухня бежевая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-side-038.webp,uglovaya-kuhnya,neoklassika,bezhevaya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-sovremennaya-015,uglovaya-kuhnya-sovremennaya-015,Угловая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-side-040.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-extra-02-041.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-016,pryamaya-kuhnya-minimalizm-016,Прямая кухня комбинированная в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-00-042.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-side-043.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-02-044.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-03-045.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-minimalizm-017,uglovaya-kuhnya-minimalizm-017,Угловая кухня серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-side-048.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-minimalizm-018,uglovaya-kuhnya-minimalizm-018,Угловая кухня серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-side-052.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-klassika-019,pryamaya-kuhnya-klassika-019,Прямая кухня под дерево в классическом стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-side-055.webp,pryamaya-kuhnya,klassika,derevo,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-neoklassika-020,pryamaya-kuhnya-neoklassika-020,Прямая кухня белая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-020-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-020-main.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-sovremennaya-021,uglovaya-kuhnya-sovremennaya-021,Угловая кухня белая в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-022,pryamaya-kuhnya-minimalizm-022,Прямая кухня комбинированная в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-side-059.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-loft-023,uglovaya-kuhnya-loft-023,Угловая кухня комбинированная в стиле лофт,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-side-061.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-extra-02-062.webp,uglovaya-kuhnya,loft,kombinacii,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-sovremennaya-024,uglovaya-kuhnya-sovremennaya-024,Угловая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-side-064.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,high,false
portfolio-kuhnya-s-ostrovom-minimalizm-025,kuhnya-s-ostrovom-minimalizm-025,Кухня с островом серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-side-065.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,kuhnya-s-ostrovom,minimalizm,seraya,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-sovremennaya-026,pryamaya-kuhnya-sovremennaya-026,Прямая кухня серая в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-side-068.webp,pryamaya-kuhnya,sovremennaya,seraya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-027,pryamaya-kuhnya-minimalizm-027,Прямая кухня бежевая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,pryamaya-kuhnya,minimalizm,bezhevaya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-neoklassika-028,pryamaya-kuhnya-neoklassika-028,Прямая кухня белая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-side-071.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-minimalizm-029,uglovaya-kuhnya-minimalizm-029,Угловая кухня бежевая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-side-072.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,uglovaya-kuhnya,minimalizm,bezhevaya,unknown,,,,,,,,high,false
portfolio-malenkaya-kuhnya-sovremennaya-030,malenkaya-kuhnya-sovremennaya-030,Маленькая кухня серая в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,malenkaya-kuhnya,sovremennaya,seraya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-sovremennaya-031,pryamaya-kuhnya-sovremennaya-031,Прямая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-side-076.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-sovremennaya-032,uglovaya-kuhnya-sovremennaya-032,Угловая кухня серая в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-side-077.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-detail-079.webp,uglovaya-kuhnya,sovremennaya,seraya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-minimalizm-033,uglovaya-kuhnya-minimalizm-033,Угловая кухня серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-033-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-033-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-034,pryamaya-kuhnya-minimalizm-034,Прямая кухня серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-081.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-082.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-main.webp,pryamaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-neoklassika-035,uglovaya-kuhnya-neoklassika-035,Угловая кухня белая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-side-085.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-02-086.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-03-087.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-detail-088.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-minimalizm-036,uglovaya-kuhnya-minimalizm-036,Угловая кухня серая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-036-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-036-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,medium,true
